APX-ARCOIRISBELLACITTAPassoFundo-TMS;10.224.0.1
APX-ARCOIRISBREITHAUPTJaragua-TMS;10.224.2.1
APX-ARCOIRISCriciumaShoppingCriciuma-TMS;10.224.4.1
APX-ARCOIRISDellaCriciuma-TMS;10.224.6.1
APX-ARCOIRISItajaiItajai-TMS;10.224.8.1
APX-ARCOIRISMarrocosLages-TMS;10.224.10.1
APX-ARCOIRISRuadaPraiaPortoAlegre-TMS;10.224.12.1
APX-ARCOPLEXAguasClarasAguasClaras-TMS;10.224.14.1
APX-ARCOPLEXAldeotaFortaleza-TMS;10.224.16.1
APX-ARCOPLEXAtlanticoBalnearioCamboriu-TMS;10.224.18.1
APX-ARCOPLEXBoulevardSCPortoAlegre-TMS;10.224.20.1
APX-ARCOPLEXCascavelCascavel-TMS;10.224.22.1
APX-ARCOPLEXDelpaseoFortaleza-TMS;10.224.24.1
APX-ARCOPLEXItaguacuPalhoca-TMS;10.224.26.1
APX-ARCOPLEXLajeadoLajeado-TMS;10.224.28.1
APX-ARCOPLEXLimeiraLimeira-TMS;10.224.30.1
APX-ARCOPLEXParkEuropeuBlumenau-TMS;10.224.32.1
APX-ARCOPLEXPatioChapecoChapeco-TMS;10.224.34.1
APX-ARCOPLEXPatioDomLuisFortaleza-TMS;10.224.36.1
APX-ARCOPLEXRioClaroRioClaro-TMS;10.224.38.1
APX-ARCOPLEXRoyalPlazaSantaMaria-TMS;10.224.40.1
APX-ARCOPLEXShoppingdoValeCachoeirinha-TMS;10.224.42.1
APX-ARCOPLEXViaCatarinaPalhoca-TMS;10.224.44.1
PRT-ABCSantoAndre-TMS;10.224.64.1
PRT-BristolSaoPaulo-TMS;10.224.66.1
PRT-ManauaraManaus-TMS;10.224.70.1
PRT-MarabaSaoPaulo-TMS;10.224.72.1
PRT-MetropoleSaoBernardodoCampo-TMS;10.224.74.1
PRT-PlazaSulSaoPaulo-TMS;10.224.76.1
PRT-PracadaMocaDiadema-TMS;10.224.78.1
PRT-SplendorPaulistaSaoPaulo-TMS;10.224.80.1
PRT-WestPlazaSaoPaulo-TMS;10.224.82.1
GSR-BayMarketNiteroi-TMS;10.224.128.1
GSR-AvenidaCampos-TMS;10.224.130.1
GSR-CineCariocaMeierRiodeJaneiro-TMS;10.224.132.1
GSR-IguacuTopNovaIguacu-TMS;10.224.134.1
GSR-IguatemiRiodeJaneiro-TMS;10.224.136.1
GSR-GrandeRioSaoJoaodeMeriti-TMS;10.224.138.1
GSR-MadureiraMadureira-TMS;10.224.140.1
GSR-NovaAmericaRiodeJaneiro-TMS;10.224.142.1
GSR-RioSulRiodeJaneiro-TMS;10.224.144.1
GSR-ViaParqueRiodeJaneiro-TMS;10.224.146.1
GSR-WestShoppingRiodeJaneiro-TMS;10.224.148.1
GSR-RoxyRiodeJaneiro-TMS;10.224.152.1
GSR-SaoLuizRiodeJaneiro-TMS;10.224.154.1
GSR-FashionMallRiodeJaneiro-TMS;10.224.156.1
GSR-KinoplexLeblonRiodeJaneiro-TMS;10.224.158.1
GSR-KinoplexTijucaRiodeJaneiro-TMS;10.224.160.1
GSR-BoaVistaRecife-TMS;10.224.162.1
GSR-KinoplexBoulevardBrasilia-TMS;10.224.164.1
GSR-KinoplexDonPedroCampinas-TMS;10.224.166.1
GSR-KinoplexGoianiaGoiania-TMS;10.224.168.1
GSR-KinoplexMaceioMaceio-TMS;10.224.170.1
GSR-KinoplexManausManaus-TMS;10.224.172.1
GSR-KinoplexOsascoOsasco-TMS;10.224.174.1
GSR-KinoplexPraiadaCostaVilaVelha-TMS;10.224.176.1
GSR-KinoplexVilaOlimpiaSaoPaulo-TMS;10.224.178.1
GSR-NorthShoppingFortaleza-TMS;10.224.180.1
GSR-PatioBrasiliaBrasilia-TMS;10.224.182.1
GSR-TerracoBrasiliaBrasilia-TMS;10.224.184.1
GSR-KinoplexParkShoppingBrasilia-TMS;10.224.186.1
GSR-KinoplexItaimSaoPaulo-TMS;10.224.188.1
CSB-ParqueShoppingMaceioMaceio-TMS;10.225.0.1
CSB-BanguRiodeJaneiro-TMS;10.225.2.1
CSB-CidadeCuritibaCuritiba-TMS;10.225.4.1
CSB-Cine10SulacapRiodeJaneiro-TMS;10.225.6.1
CSB-CuritibaCuritiba-TMS;10.225.8.1
CSB-HipermercadoCondorParanagua-TMS;10.225.10.1
CSB-HortolandiaHortolandia-TMS;10.225.12.1
CSB-IlhaPlazaRiodeJaneiro-TMS;10.225.14.1
CSB-ImperatrizImperatriz-TMS;10.225.16.1
CSB-LitoralPraiaGrandePraiaGrande-TMS;10.225.18.1
CSB-RecreioRiodeJaneiro-TMS;10.225.20.1
CSB-RioAnilShoppingSaoLuis-TMS;10.225.22.1
CSB-ShoppingBourbonSaoLeopoldo-TMS;10.225.24.1
CSB-ShoppingIguatemiFlorianopolis-TMS;10.225.26.1
CSB-ShoppingTotalCuritiba-TMS;10.225.28.1
CSB-ViaBrasilRiodeJaneiro-TMS;10.225.30.1
CSB-RioGrandeRioGrande-TMS;10.225.32.1
CSB-AmericasAmericas-TMS;10.225.34.1
CSB-CinesystemParkSulacapRiodeJaneiro-TMS;10.225.36.1
CSB-ShoppingRioTapajosSantarem-TMS;10.225.38.1
CSB-ItaboraiPlazaShoppingItaborai-TMS;10.225.40.1
CSB-LondrinaNorteLondrina-TMS;10.225.44.1
CSB-ItaboraiPlazaShoppingItaborai-TMS;10.225.46.1
CPX-AtibaiaAtibaia-TMS;10.225.128.1
CPX-CaraguaCaraguatatuba-TMS;10.225.130.1
CPX-BarretosBarretos-TMS;10.225.132.1
CPX-CaruaruCaruaru-TMS;10.225.134.1
CPX-ItaItapevi-TMS;10.225.136.1
CPX-LapaSaoPaulo-TMS;10.225.138.1
CPX-LimeiraLimeira-TMS;10.225.140.1
CPX-MaracanauMaracanau-TMS;10.225.142.1
CPX-PatioMaceioMaceio-TMS;10.225.144.1
CPX-PocosdeCaldasPocosdeCaldas-TMS;10.225.146.1
